City,Province,url,ID
大兴安岭地区,黑龙江省,http://www.hotelaah.com/heilongjiang/index.html,52
丹东市,辽宁省,http://www.hotelaah.com/liaoning/index.html,53
德宏傣族景颇族自治州,云南省,http://www.hotelaah.com/yunnan/index.html,54
德阳市,四川省,http://www.hotelaah.com/sichuan/index.html,55
德州市,山东省,http://www.hotelaah.com/shandong/index.html,56
迪庆藏族自治州,云南省,http://www.hotelaah.com/yunnan/index.html,57
定西市,甘肃省,http://www.hotelaah.com/gansu/index.html,58
东莞市,广东省,http://www.hotelaah.com/guangdong/index.html,59
东营市,山东省,http://www.hotelaah.com/shandong/index.html,60
鄂尔多斯市,内蒙古自治区,http://www.hotelaah.com/neimenggu/index.html,61
鄂州市,湖北省,http://www.hotelaah.com/hubei/index.html,62
恩施土家族苗族自治州,湖北省,http://www.hotelaah.com/hubei/index.html,63
防城港市,广西壮族自治区,http://www.hotelaah.com/guangxi/index.html,64
佛山市,广东省,http://www.hotelaah.com/guangdong/index.html,65
福州市,福建省,http://www.hotelaah.com/fujian/index.html,66
抚顺市,辽宁省,http://www.hotelaah.com/liaoning/index.html,67
抚州市,江西省,http://www.hotelaah.com/jiangxi/index.html,68
阜新市,辽宁省,http://www.hotelaah.com/liaoning/index.html,69
阜阳市,安徽省,http://www.hotelaah.com/anhui/index.html,70
甘南州,甘肃省,http://www.hotelaah.com/gansu/index.html,71
甘孜藏族自治州,四川省,http://www.hotelaah.com/sichuan/index.html,72
赣州市,江西省,http://www.hotelaah.com/jiangxi/index.html,73
固原市,宁夏回族自治区,http://www.hotelaah.com/ningxia/index.html,74
广安市,四川省,http://www.hotelaah.com/sichuan/index.html,75
广元市,四川省,http://www.hotelaah.com/sichuan/index.html,76
广州市,广东省,http://www.hotelaah.com/guangdong/index.html,77
贵港市,广西壮族自治区,http://www.hotelaah.com/guangxi/index.html,78
贵阳市,贵州省,http://www.hotelaah.com/guizhou/index.html,79
桂林市,广西壮族自治区,http://www.hotelaah.com/guangxi/index.html,80
果洛藏族自治州,青海省,http://www.hotelaah.com/qinghai/index.html,81
哈尔滨市,黑龙江省,http://www.hotelaah.com/heilongjiang/index.html,82
哈密地区,新疆维吾尔自治区,http://www.hotelaah.com/xinjiang/index.html,83
海北藏族自治州,青海省,http://www.hotelaah.com/qinghai/index.html,84
海东地区,青海省,http://www.hotelaah.com/qinghai/index.html,85
海口市,海南省,http://www.hotelaah.com/hainan/index.html,86
海南藏族自治州,青海省,http://www.hotelaah.com/qinghai/index.html,87
海西蒙古族藏族自治州,青海省,http://www.hotelaah.com/qinghai/index.html,88
邯郸市,河北省,http://www.hotelaah.com/hebei/index.html,89
汉中市,陕西省,http://www.hotelaah.com/shannxi/index.html,90
杭州市,浙江省,http://www.hotelaah.com/zhejiang/index.html,91
毫州市,安徽省,http://www.hotelaah.com/anhui/index.html,92
合肥市,安徽省,http://www.hotelaah.com/anhui/index.html,93
和田地区,新疆维吾尔自治区,http://www.hotelaah.com/xinjiang/index.html,94
河池市,广西壮族自治区,http://www.hotelaah.com/guangxi/index.html,95
河源市,广东省,http://www.hotelaah.com/guangdong/index.html,96
菏泽市,山东省,http://www.hotelaah.com/shandong/index.html,97
贺州市,广西壮族自治区,http://www.hotelaah.com/guangxi/index.html,98
鹤壁市,河南省,http://www.hotelaah.com/henan/index.html,99
鹤岗市,黑龙江省,http://www.hotelaah.com/heilongjiang/index.html,100
黑河市,黑龙江省,http://www.hotelaah.com/heilongjiang/index.html,101
衡水市,河北省,http://www.hotelaah.com/hebei/index.html,102
衡阳市,湖南省,http://www.hotelaah.com/hunan/index.html,103
红河哈尼族彝族自治州,云南省,http://www.hotelaah.com/yunnan/index.html,104
呼和浩特市,内蒙古自治区,http://www.hotelaah.com/neimenggu/index.html,105
呼伦贝尔市,内蒙古自治区,http://www.hotelaah.com/neimenggu/index.html,106
湖州市,浙江省,http://www.hotelaah.com/zhejiang/index.html,107
葫芦岛市,辽宁省,http://www.hotelaah.com/liaoning/index.html,108
怀化市,湖南省,http://www.hotelaah.com/hunan/index.html,109
淮安市,江苏省,http://www.hotelaah.com/jiangsu/index.html,110
淮北市,安徽省,http://www.hotelaah.com/anhui/index.html,111
淮南市,安徽省,http://www.hotelaah.com/anhui/index.html,112
黄冈市,湖北省,http://www.hotelaah.com/hubei/index.html,113
黄南藏族自治州,青海省,http://www.hotelaah.com/qinghai/index.html,114
黄山市,安徽省,http://www.hotelaah.com/anhui/index.html,115
黄石市,湖北省,http://www.hotelaah.com/hubei/index.html,116
惠州市,广东省,http://www.hotelaah.com/guangdong/index.html,117
鸡西市,黑龙江省,http://www.hotelaah.com/heilongjiang/index.html,118
吉安市,江西省,http://www.hotelaah.com/jiangxi/index.html,119
吉林市,吉林省,http://www.hotelaah.com/jilin/index.html,120
济南市,山东省,http://www.hotelaah.com/shandong/index.html,121
济宁市,山东省,http://www.hotelaah.com/shandong/index.html,122
佳木斯市,黑龙江省,http://www.hotelaah.com/heilongjiang/index.html,123
嘉兴市,浙江省,http://www.hotelaah.com/zhejiang/index.html,124
嘉峪关市,甘肃省,http://www.hotelaah.com/gansu/index.html,125
江门市,广东省,http://www.hotelaah.com/guangdong/index.html,126
焦作市,河南省,http://www.hotelaah.com/henan/index.html,127
揭阳市,广东省,http://www.hotelaah.com/guangdong/index.html,128
金昌市,甘肃省,http://www.hotelaah.com/gansu/index.html,129
金华市,浙江省,http://www.hotelaah.com/zhejiang/index.html,130
锦州市,辽宁省,http://www.hotelaah.com/liaoning/index.html,131
晋城市,山西省,http://www.hotelaah.com/shanxi/index.html,132
晋中市,山西省,http://www.hotelaah.com/shanxi/index.html,133
荆门市,湖北省,http://www.hotelaah.com/hubei/index.html,134
荆州市,湖北省,http://www.hotelaah.com/hubei/index.html,135
景德镇市,江西省,http://www.hotelaah.com/jiangxi/index.html,136
九江市,江西省,http://www.hotelaah.com/jiangxi/index.html,137
酒泉市,甘肃省,http://www.hotelaah.com/gansu/index.html,138
喀什地区,新疆维吾尔自治区,http://www.hotelaah.com/xinjiang/index.html,139
开封市,河南省,http://www.hotelaah.com/henan/index.html,140
克拉玛依市,新疆维吾尔自治区,http://www.hotelaah.com/xinjiang/index.html,141
克孜勒苏柯尔克孜自治州,新疆维吾尔自治区,http://www.hotelaah.com/xinjiang/index.html,142
昆明市,云南省,http://www.hotelaah.com/yunnan/index.html,143
拉萨市,西藏自治区,http://www.hotelaah.com/xizang/index.html,144
来宾市,广西壮族自治区,http://www.hotelaah.com/guangxi/index.html,145
莱芜市,山东省,http://www.hotelaah.com/shandong/index.html,146
兰州市,甘肃省,http://www.hotelaah.com/gansu/index.html,147
廊坊市,河北省,http://www.hotelaah.com/hebei/index.html,148
乐山市,四川省,http://www.hotelaah.com/sichuan/index.html,149
丽江市,云南省,http://www.hotelaah.com/yunnan/index.html,150
丽水市,浙江省,http://www.hotelaah.com/zhejiang/index.html,151
连云港市,江苏省,http://www.hotelaah.com/jiangsu/index.html,152
凉山彝族自治州,四川省,http://www.hotelaah.com/sichuan/index.html,153
辽阳市,辽宁省,http://www.hotelaah.com/liaoning/index.html,154
辽源市,吉林省,http://www.hotelaah.com/jilin/index.html,155
聊城市,山东省,http://www.hotelaah.com/shandong/index.html,156
林芝地区,西藏自治区,http://www.hotelaah.com/xizang/index.html,157
临沧市,云南省,http://www.hotelaah.com/yunnan/index.html,158
临汾市,山西省,http://www.hotelaah.com/shanxi/index.html,159
临夏州,甘肃省,http://www.hotelaah.com/gansu/index.html,160
临沂市,山东省,http://www.hotelaah.com/shandong/index.html,161
柳州市,广西壮族自治区,http://www.hotelaah.com/guangxi/index.html,162
六安市,安徽省,http://www.hotelaah.com/anhui/index.html,163
六盘水市,贵州省,http://www.hotelaah.com/guizhou/index.html,164
龙岩市,福建省,http://www.hotelaah.com/fujian/index.html,165
陇南市,甘肃省,http://www.hotelaah.com/gansu/index.html,166
娄底市,湖南省,http://www.hotelaah.com/hunan/index.html,167
泸州市,四川省,http://www.hotelaah.com/sichuan/index.html,168
吕梁市,山西省,http://www.hotelaah.com/shanxi/index.html,169
洛阳市,河南省,http://www.hotelaah.com/henan/index.html,170
漯河市,河南省,http://www.hotelaah.com/henan/index.html,171
马鞍山市,安徽省,http://www.hotelaah.com/anhui/index.html,172
茂名市,广东省,http://www.hotelaah.com/guangdong/index.html,173
眉山市,四川省,http://www.hotelaah.com/sichuan/index.html,174
梅州市,广东省,http://www.hotelaah.com/guangdong/index.html,175
绵阳市,四川省,http://www.hotelaah.com/sichuan/index.html,176
牡丹江市,黑龙江省,http://www.hotelaah.com/heilongjiang/index.html,177
内江市,四川省,http://www.hotelaah.com/sichuan/index.html,178
那曲地区,西藏自治区,http://www.hotelaah.com/xizang/index.html,179
南昌市,江西省,http://www.hotelaah.com/jiangxi/index.html,180
南充市,四川省,http://www.hotelaah.com/sichuan/index.html,181
南京市,江苏省,http://www.hotelaah.com/jiangsu/index.html,182
南宁市,广西壮族自治区,http://www.hotelaah.com/guangxi/index.html,183
南平市,福建省,http://www.hotelaah.com/fujian/index.html,184
南通市,江苏省,http://www.hotelaah.com/jiangsu/index.html,185
南阳市,河南省,http://www.hotelaah.com/henan/index.html,186
宁波市,浙江省,http://www.hotelaah.com/zhejiang/index.html,187
宁德市,福建省,http://www.hotelaah.com/fujian/index.html,188
怒江傈僳族自治州,云南省,http://www.hotelaah.com/yunnan/index.html,189
攀枝花市,四川省,http://www.hotelaah.com/sichuan/index.html,190
盘锦市,辽宁省,http://www.hotelaah.com/liaoning/index.html,191
平顶山市,河南省,http://www.hotelaah.com/henan/index.html,192
平凉市,甘肃省,http://www.hotelaah.com/gansu/index.html,193
萍乡市,江西省,http://www.hotelaah.com/jiangxi/index.html,194
莆田市,福建省,http://www.hotelaah.com/fujian/index.html,195
濮阳市,河南省,http://www.hotelaah.com/henan/index.html,196
普洱市,云南省,http://www.hotelaah.com/yunnan/index.html,197
七台河市,黑龙江省,http://www.hotelaah.com/heilongjiang/index.html,198
齐齐哈尔市,黑龙江省,http://www.hotelaah.com/heilongjiang/index.html,199
黔东南苗族侗族自治州,贵州省,http://www.hotelaah.com/guizhou/index.html,200
黔南布依族苗族自治州,贵州省,http://www.hotelaah.com/guizhou/index.html,201
黔西南布依族苗族自治州,贵州省,http://www.hotelaah.com/guizhou/index.html,202
钦州市,广西壮族自治区,http://www.hotelaah.com/guangxi/index.html,203
秦皇岛市,河北省,http://www.hotelaah.com/hebei/index.html,204
青岛市,山东省,http://www.hotelaah.com/shandong/index.html,205
清远市,广东省,http://www.hotelaah.com/guangdong/index.html,206
庆阳市,甘肃省,http://www.hotelaah.com/gansu/index.html,207
曲靖市,云南省,http://www.hotelaah.com/yunnan/index.html,208
衢州市,浙江省,http://www.hotelaah.com/zhejiang/index.html,209
泉州市,福建省,http://www.hotelaah.com/fujian/index.html,210
日喀则地区,西藏自治区,http://www.hotelaah.com/xizang/index.html,211
日照市,山东省,http://www.hotelaah.com/shandong/index.html,212
三门峡市,河南省,http://www.hotelaah.com/henan/index.html,213
三明市,福建省,http://www.hotelaah.com/fujian/index.html,214
三亚市,海南省,http://www.hotelaah.com/hainan/index.html,215
山南地区,西藏自治区,http://www.hotelaah.com/xizang/index.html,216
汕头市,广东省,http://www.hotelaah.com/guangdong/index.html,217
汕尾市,广东省,http://www.hotelaah.com/guangdong/index.html,218
商洛市,陕西省,http://www.hotelaah.com/shannxi/index.html,219
商丘市,河南省,http://www.hotelaah.com/henan/index.html,220
上饶市,江西省,http://www.hotelaah.com/jiangxi/index.html,221
韶关市,广东省,http://www.hotelaah.com/guangdong/index.html,222
邵阳市,湖南省,http://www.hotelaah.com/hunan/index.html,223
绍兴市,浙江省,http://www.hotelaah.com/zhejiang/index.html,224
深圳市,广东省,http://www.hotelaah.com/guangdong/index.html,225
沈阳市,辽宁省,http://www.hotelaah.com/liaoning/index.html,226
十堰市,湖北省,http://www.hotelaah.com/hubei/index.html,227
石家庄市,河北省,http://www.hotelaah.com/hebei/index.html,228
石嘴山市,宁夏回族自治区,http://www.hotelaah.com/ningxia/index.html,229
双鸭山市,黑龙江省,http://www.hotelaah.com/heilongjiang/index.html,230
朔州市,山西省,http://www.hotelaah.com/shanxi/index.html,231
四平市,吉林省,http://www.hotelaah.com/jilin/index.html,232
松原市,吉林省,http://www.hotelaah.com/jilin/index.html,233
苏州市,江苏省,http://www.hotelaah.com/jiangsu/index.html,234
宿迁市,江苏省,http://www.hotelaah.com/jiangsu/index.html,235
宿州市,安徽省,http://www.hotelaah.com/anhui/index.html,236
绥化市,黑龙江省,http://www.hotelaah.com/heilongjiang/index.html,237
随州市,湖北省,http://www.hotelaah.com/hubei/index.html,238
遂宁市,四川省,http://www.hotelaah.com/sichuan/index.html,239
塔城地区,新疆维吾尔自治区,http://www.hotelaah.com/xinjiang/index.html,240
台州市,浙江省,http://www.hotelaah.com/zhejiang/index.html,241
太原市,山西省,http://www.hotelaah.com/shanxi/index.html,242
泰安市,山东省,http://www.hotelaah.com/shandong/index.html,243
泰州市,江苏省,http://www.hotelaah.com/jiangsu/index.html,244
唐山市,河北省,http://www.hotelaah.com/hebei/index.html,245
天水市,甘肃省,http://www.hotelaah.com/gansu/index.html,246
铁岭市,辽宁省,http://www.hotelaah.com/liaoning/index.html,247
通化市,吉林省,http://www.hotelaah.com/jilin/index.html,248
通辽市,内蒙古自治区,http://www.hotelaah.com/neimenggu/index.html,249
铜川市,陕西省,http://www.hotelaah.com/shannxi/index.html,250
铜陵市,安徽省,http://www.hotelaah.com/anhui/index.html,251
铜仁市,贵州省,http://www.hotelaah.com/guizhou/index.html,252
吐鲁番地区,新疆维吾尔自治区,http://www.hotelaah.com/xinjiang/index.html,253
威海市,山东省,http://www.hotelaah.com/shandong/index.html,254
潍坊市,山东省,http://www.hotelaah.com/shandong/index.html,255
渭南市,陕西省,http://www.hotelaah.com/shannxi/index.html,256
温州市,浙江省,http://www.hotelaah.com/zhejiang/index.html,257
文山壮族苗族自治州,云南省,http://www.hotelaah.com/yunnan/index.html,258
乌海市,内蒙古自治区,http://www.hotelaah.com/neimenggu/index.html,259
乌兰察布市,内蒙古自治区,http://www.hotelaah.com/neimenggu/index.html,260
乌鲁木齐市,新疆维吾尔自治区,http://www.hotelaah.com/xinjiang/index.html,261
无锡市,江苏省,http://www.hotelaah.com/jiangsu/index.html,262
吴忠市,宁夏回族自治区,http://www.hotelaah.com/ningxia/index.html,263
芜湖市,安徽省,http://www.hotelaah.com/anhui/index.html,264
梧州市,广西壮族自治区,http://www.hotelaah.com/guangxi/index.html,265
武汉市,湖北省,http://www.hotelaah.com/hubei/index.html,266
武威市,甘肃省,http://www.hotelaah.com/gansu/index.html,267
西安市,陕西省,http://www.hotelaah.com/shannxi/index.html,268
西宁市,青海省,http://www.hotelaah.com/qinghai/index.html,269
西双版纳傣族自治州,云南省,http://www.hotelaah.com/yunnan/index.html,270
锡林郭勒盟,内蒙古自治区,http://www.hotelaah.com/neimenggu/index.html,271
厦门市,福建省,http://www.hotelaah.com/fujian/index.html,272
咸宁市,湖北省,http://www.hotelaah.com/hubei/index.html,273
咸阳市,陕西省,http://www.hotelaah.com/shannxi/index.html,274
湘潭市,湖南省,http://www.hotelaah.com/hunan/index.html,275
湘西土家族苗族自治州,湖南省,http://www.hotelaah.com/hunan/index.html,276
襄阳市,湖北省,http://www.hotelaah.com/hubei/index.html,277
孝感市,湖北省,http://www.hotelaah.com/hubei/index.html,278
忻州市,山西省,http://www.hotelaah.com/shanxi/index.html,279
新乡市,河南省,http://www.hotelaah.com/henan/index.html,280
新余市,江西省,http://www.hotelaah.com/jiangxi/index.html,281
信阳市,河南省,http://www.hotelaah.com/henan/index.html,282
兴安盟,内蒙古自治区,http://www.hotelaah.com/neimenggu/index.html,283
邢台市,河北省,http://www.hotelaah.com/hebei/index.html,284
徐州市,江苏省,http://www.hotelaah.com/jiangsu/index.html,285
许昌市,河南省,http://www.hotelaah.com/henan/index.html,286
宣城市,安徽省,http://www.hotelaah.com/anhui/index.html,287
雅安市,四川省,http://www.hotelaah.com/sichuan/index.html,288
烟台市,山东省,http://www.hotelaah.com/shandong/index.html,289
延安市,陕西省,http://www.hotelaah.com/shannxi/index.html,290
延边朝鲜族自治州,吉林省,http://www.hotelaah.com/jilin/index.html,291
盐城市,江苏省,http://www.hotelaah.com/jiangsu/index.html,292
扬州市,江苏省,http://www.hotelaah.com/jiangsu/index.html,293
阳江市,广东省,http://www.hotelaah.com/guangdong/index.html,294
阳泉市,山西省,http://www.hotelaah.com/shanxi/index.html,295
伊春市,黑龙江省,http://www.hotelaah.com/heilongjiang/index.html,296
伊犁哈萨克自治州,新疆维吾尔自治区,http://www.hotelaah.com/xinjiang/index.html,297
宜宾市,四川省,http://www.hotelaah.com/sichuan/index.html,298
宜昌市,湖北省,http://www.hotelaah.com/hubei/index.html,299
宜春市,江西省,http://www.hotelaah.com/jiangxi/index.html,300
益阳市,湖南省,http://www.hotelaah.com/hunan/index.html,301
银川市,宁夏回族自治区,http://www.hotelaah.com/ningxia/index.html,302
鹰潭市,江西省,http://www.hotelaah.com/jiangxi/index.html,303
营口市,辽宁省,http://www.hotelaah.com/liaoning/index.html,304
永州市,湖南省,http://www.hotelaah.com/hunan/index.html,305
榆林市,陕西省,http://www.hotelaah.com/shannxi/index.html,306
玉林市,广西壮族自治区,http://www.hotelaah.com/guangxi/index.html,307
玉树藏族自治州,青海省,http://www.hotelaah.com/qinghai/index.html,308
玉溪市,云南省,http://www.hotelaah.com/yunnan/index.html,309
岳阳市,湖南省,http://www.hotelaah.com/hunan/index.html,310
云浮市,广东省,http://www.hotelaah.com/guangdong/index.html,311
运城市,山西省,http://www.hotelaah.com/shanxi/index.html,312
枣庄市,山东省,http://www.hotelaah.com/shandong/index.html,313
湛江市,广东省,http://www.hotelaah.com/guangdong/index.html,314
张家界市,湖南省,http://www.hotelaah.com/hunan/index.html,315
张家口市,河北省,http://www.hotelaah.com/hebei/index.html,316
张掖市,甘肃省,http://www.hotelaah.com/gansu/index.html,317
漳州市,福建省,http://www.hotelaah.com/fujian/index.html,318
昭通市,云南省,http://www.hotelaah.com/yunnan/index.html,319
肇庆市,广东省,http://www.hotelaah.com/guangdong/index.html,320
镇江市,江苏省,http://www.hotelaah.com/jiangsu/index.html,321
郑州市,河南省,http://www.hotelaah.com/henan/index.html,322
中山市,广东省,http://www.hotelaah.com/guangdong/index.html,323
中卫市,宁夏回族自治区,http://www.hotelaah.com/ningxia/index.html,324
舟山市,浙江省,http://www.hotelaah.com/zhejiang/index.html,325
周口市,河南省,http://www.hotelaah.com/henan/index.html,326
株洲市,湖南省,http://www.hotelaah.com/hunan/index.html,327
珠海市,广东省,http://www.hotelaah.com/guangdong/index.html,328
驻马店市,河南省,http://www.hotelaah.com/henan/index.html,329
资阳市,四川省,http://www.hotelaah.com/sichuan/index.html,330
淄博市,山东省,http://www.hotelaah.com/shandong/index.html,331
自贡市,四川省,http://www.hotelaah.com/sichuan/index.html,332
遵义市,贵州省,http://www.hotelaah.com/guizhou/index.html,333
